{'src_ip': '13.69.239.78', 'dst_ip': '192.168.1.60', 'src_port': '443', 'dst_port': '52439', 'protocol': 'TCP', 'start_time': 1759767212.771907, 'end_time': 1759767212.771907, 'flow_duration': 0.0, 'total_fwd_packets': 1, 'total_bwd_packets': 0, 'fw_packet_size': 338, 'fw_packet_size_max': 338, 'fw_packet_size_min': 338, 'fw_packet_size_avg': 338.0, 'fw_packet_size_std': 0, 'bw_packet_size': 0, 'bw_packet_size_max': 0, 'bw_packet_size_min': 0, 'bw_packet_size_avg': 0, 'bw_packet_size_std': 0, 'flow_byte_per_sec': 0, 'flow_packet_per_sec': 0, 'flow_iat_avg': 0, 'flow_iat_std': 0, 'flow_iat_max': 0, 'flow_iat_min': 0, 'fw_iat_total': 0, 'fw_iat_avg': 0, 'fw_iat_std': 0, 'fw_iat_max': 0, 'fw_iat_min': 0, 'bw_iat_total': 0, 'bw_iat_avg': 0, 'bw_iat_std': 0, 'bw_iat_max': 0, 'bw_iat_min': 0, 'fw_psh_flag': 0, 'bw_psh_flag': 0, 'fw_urg_flag': 0, 'bw_urg_flag': 0, 'fw_hdr_len': 160, 'bw_hdr_len': 0, 'fw_pkt_s': 0, 'bw_pkt_s': 0, 'pkt_len_min': 338, 'pkt_len_max': 338, 'pkt_len_avg': 338.0, 'pkt_len_std': 0, 'pkt_len_va': 0, 'fin_cnt': 0, 'syn_cnt': 0, 'rst_cnt': 0, 'push_cnt': 0, 'ack_cnt': 0, 'urg_cnt': 0, 'cwe_cnt': 0, 'ece_cnt': 0, 'down_up_ratio': 0, 'pkt_size_avr': 338.0, 'fw_seg_avg': 338.0, 'bw_seg_avg': 0, 'fw_byt_blk_avg': 0, 'fw_pkt_blk_avg': 0, 'fw_blk_rate_avg': 0, 'bw_byt_blk_avg': 0, 'bw_pkt_blk_avg': 0, 'bw_blk_rate_avg': 0, 'subfl_fw_pk': 0, 'subfl_fw_byt': 0, 'subfl_bw_pk': 0, 'subfl_bw_byt': 0, 'fw_win_byt': 16386, 'bw_win_byt': 0, 'Fw_act_pkt': 0, 'fw_seg_min': None, 'atv_avg': 0, 'atv_std': 0, 'atv_max': 0, 'atv_min': 0, 'idl_avg': 0, 'idl_std': 0, 'idl_max': 0, 'idl_min': 0, 'label': 'BENIGN'}
{'src_ip': '192.168.1.60', 'dst_ip': '180.250.13.46', 'src_port': '55853', 'dst_port': '53', 'protocol': 'UDP', 'start_time': 1759767212.844745, 'end_time': 1759767212.844745, 'flow_duration': 0.0, 'total_fwd_packets': 1, 'total_bwd_packets': 0, 'fw_packet_size': 89, 'fw_packet_size_max': 89, 'fw_packet_size_min': 89, 'fw_packet_size_avg': 89.0, 'fw_packet_size_std': 0, 'bw_packet_size': 0, 'bw_packet_size_max': 0, 'bw_packet_size_min': 0, 'bw_packet_size_avg': 0, 'bw_packet_size_std': 0, 'flow_byte_per_sec': 0, 'flow_packet_per_sec': 0, 'flow_iat_avg': 0, 'flow_iat_std': 0, 'flow_iat_max': 0, 'flow_iat_min': 0, 'fw_iat_total': 0, 'fw_iat_avg': 0, 'fw_iat_std': 0, 'fw_iat_max': 0, 'fw_iat_min': 0, 'bw_iat_total': 0, 'bw_iat_avg': 0, 'bw_iat_std': 0, 'bw_iat_max': 0, 'bw_iat_min': 0, 'fw_psh_flag': 0, 'bw_psh_flag': 0, 'fw_urg_flag': 0, 'bw_urg_flag': 0, 'fw_hdr_len': 88, 'bw_hdr_len': 0, 'fw_pkt_s': 0, 'bw_pkt_s': 0, 'pkt_len_min': 89, 'pkt_len_max': 89, 'pkt_len_avg': 89.0, 'pkt_len_std': 0, 'pkt_len_va': 0, 'fin_cnt': 0, 'syn_cnt': 0, 'rst_cnt': 0, 'push_cnt': 0, 'ack_cnt': 0, 'urg_cnt': 0, 'cwe_cnt': 0, 'ece_cnt': 0, 'down_up_ratio': 0, 'pkt_size_avr': 89.0, 'fw_seg_avg': 89.0, 'bw_seg_avg': 0, 'fw_byt_blk_avg': 0, 'fw_pkt_blk_avg': 0, 'fw_blk_rate_avg': 0, 'bw_byt_blk_avg': 0, 'bw_pkt_blk_avg': 0, 'bw_blk_rate_avg': 0, 'subfl_fw_pk': 0, 'subfl_fw_byt': 0, 'subfl_bw_pk': 0, 'subfl_bw_byt': 0, 'fw_win_byt': 0, 'bw_win_byt': 0, 'Fw_act_pkt': 0, 'fw_seg_min': None, 'atv_avg': 0, 'atv_std': 0, 'atv_max': 0, 'atv_min': 0, 'idl_avg': 0, 'idl_std': 0, 'idl_max': 0, 'idl_min': 0, 'label': 'BENIGN'}
{'src_ip': '192.168.1.60', 'dst_ip': '20.44.10.122', 'src_port': '52440', 'dst_port': '443', 'protocol': 'TCP', 'start_time': 1759767212.848424, 'end_time': 1759767217.492084, 'flow_duration': 4.643660068511963, 'total_fwd_packets': 27, 'total_bwd_packets': 0, 'fw_packet_size': 23330, 'fw_packet_size_max': 1494, 'fw_packet_size_min': 54, 'fw_packet_size_avg': 864.074074074074, 'fw_packet_size_std': 651.7880776883965, 'bw_packet_size': 0, 'bw_packet_size_max': 0, 'bw_packet_size_min': 0, 'bw_packet_size_avg': 0, 'bw_packet_size_std': 0, 'flow_byte_per_sec': 5024.054227870297, 'flow_packet_per_sec': 5.814379089262667, 'flow_iat_avg': 0.1786023103273832, 'flow_iat_std': 0.7037928607892583, 'flow_iat_max': 3.67128586769104, 'flow_iat_min': 0.0, 'fw_iat_total': 4.643660068511963, 'fw_iat_avg': 0.1786023103273832, 'fw_iat_std': 0.7037928607892583, 'fw_iat_max': 3.67128586769104, 'fw_iat_min': 0.0, 'bw_iat_total': 0, 'bw_iat_avg': 0, 'bw_iat_std': 0, 'bw_iat_max': 0, 'bw_iat_min': 0, 'fw_psh_flag': 0, 'bw_psh_flag': 0, 'fw_urg_flag': 0, 'bw_urg_flag': 0, 'fw_hdr_len': 4368, 'bw_hdr_len': 0, 'fw_pkt_s': 5.814379089262667, 'bw_pkt_s': 0.0, 'pkt_len_min': 54, 'pkt_len_max': 1494, 'pkt_len_avg': 864.074074074074, 'pkt_len_std': 651.7880776883965, 'pkt_len_va': 0.0, 'fin_cnt': 0, 'syn_cnt': 0, 'rst_cnt': 0, 'push_cnt': 0, 'ack_cnt': 0, 'urg_cnt': 0, 'cwe_cnt': 0, 'ece_cnt': 0, 'down_up_ratio': 0.0, 'pkt_size_avr': 864.074074074074, 'fw_seg_avg': 864.074074074074, 'bw_seg_avg': 0, 'fw_byt_blk_avg': 11665.0, 'fw_pkt_blk_avg': 13.5, 'fw_blk_rate_avg': 0.4306947473527901, 'bw_byt_blk_avg': 0, 'bw_pkt_blk_avg': 0, 'bw_blk_rate_avg': 0, 'subfl_fw_pk': 0, 'subfl_fw_byt': 0, 'subfl_bw_pk': 0, 'subfl_bw_byt': 0, 'fw_win_byt': 65535, 'bw_win_byt': 0, 'Fw_act_pkt': 18, 'fw_seg_min': 52, 'atv_avg': 4.643660068511963, 'atv_std': 0, 'atv_max': 4.643660068511963, 'atv_min': 4.643660068511963, 'idl_avg': 0, 'idl_std': 0, 'idl_max': 0, 'idl_min': 0, 'label': 'BENIGN'}
{'src_ip': '35.186.224.24', 'dst_ip': '192.168.1.60', 'src_port': '443', 'dst_port': '49788', 'protocol': 'UDP', 'start_time': 1759767212.934238, 'end_time': 1759767213.387047, 'flow_duration': 0.45280909538269043, 'total_fwd_packets': 9, 'total_bwd_packets': 0, 'fw_packet_size': 4134, 'fw_packet_size_max': 1292, 'fw_packet_size_min': 65, 'fw_packet_size_avg': 459.3333333333333, 'fw_packet_size_std': 483.9187259585367, 'bw_packet_size': 0, 'bw_packet_size_max': 0, 'bw_packet_size_min': 0, 'bw_packet_size_avg': 0, 'bw_packet_size_std': 0, 'flow_byte_per_sec': 9129.675269676642, 'flow_packet_per_sec': 19.875925841095736, 'flow_iat_avg': 0.056601136922836304, 'flow_iat_std': 0.10866983943363559, 'flow_iat_max': 0.3331470489501953, 'flow_iat_min': 0.0, 'fw_iat_total': 0.45280909538269043, 'fw_iat_avg': 0.056601136922836304, 'fw_iat_std': 0.10866983943363559, 'fw_iat_max': 0.3331470489501953, 'fw_iat_min': 0.0, 'bw_iat_total': 0, 'bw_iat_avg': 0, 'bw_iat_std': 0, 'bw_iat_max': 0, 'bw_iat_min': 0, 'fw_psh_flag': 0, 'bw_psh_flag': 0, 'fw_urg_flag': 0, 'bw_urg_flag': 0, 'fw_hdr_len': 792, 'bw_hdr_len': 0, 'fw_pkt_s': 19.875925841095736, 'bw_pkt_s': 0.0, 'pkt_len_min': 65, 'pkt_len_max': 1292, 'pkt_len_avg': 459.3333333333333, 'pkt_len_std': 483.9187259585367, 'pkt_len_va': 0.0, 'fin_cnt': 0, 'syn_cnt': 0, 'rst_cnt': 0, 'push_cnt': 0, 'ack_cnt': 0, 'urg_cnt': 0, 'cwe_cnt': 0, 'ece_cnt': 0, 'down_up_ratio': 0.0, 'pkt_size_avr': 459.3333333333333, 'fw_seg_avg': 459.3333333333333, 'bw_seg_avg': 0, 'fw_byt_blk_avg': 4134.0, 'fw_pkt_blk_avg': 9.0, 'fw_blk_rate_avg': 2.2084362045661927, 'bw_byt_blk_avg': 0, 'bw_pkt_blk_avg': 0, 'bw_blk_rate_avg': 0, 'subfl_fw_pk': 0, 'subfl_fw_byt': 0, 'subfl_bw_pk': 0, 'subfl_bw_byt': 0, 'fw_win_byt': 0, 'bw_win_byt': 0, 'Fw_act_pkt': 0, 'fw_seg_min': None, 'atv_avg': 0.45280909538269043, 'atv_std': 0, 'atv_max': 0.45280909538269043, 'atv_min': 0.45280909538269043, 'idl_avg': 0, 'idl_std': 0, 'idl_max': 0, 'idl_min': 0, 'label': 'BENIGN'}
{'src_ip': '192.168.1.60', 'dst_ip': '13.69.239.78', 'src_port': '52439', 'dst_port': '443', 'protocol': 'TCP', 'start_time': 1759767212.820298, 'end_time': 1759767212.820298, 'flow_duration': 0.0, 'total_fwd_packets': 1, 'total_bwd_packets': 0, 'fw_packet_size': 54, 'fw_packet_size_max': 54, 'fw_packet_size_min': 54, 'fw_packet_size_avg': 54.0, 'fw_packet_size_std': 0, 'bw_packet_size': 0, 'bw_packet_size_max': 0, 'bw_packet_size_min': 0, 'bw_packet_size_avg': 0, 'bw_packet_size_std': 0, 'flow_byte_per_sec': 0, 'flow_packet_per_sec': 0, 'flow_iat_avg': 0, 'flow_iat_std': 0, 'flow_iat_max': 0, 'flow_iat_min': 0, 'fw_iat_total': 0, 'fw_iat_avg': 0, 'fw_iat_std': 0, 'fw_iat_max': 0, 'fw_iat_min': 0, 'bw_iat_total': 0, 'bw_iat_avg': 0, 'bw_iat_std': 0, 'bw_iat_max': 0, 'bw_iat_min': 0, 'fw_psh_flag': 0, 'bw_psh_flag': 0, 'fw_urg_flag': 0, 'bw_urg_flag': 0, 'fw_hdr_len': 160, 'bw_hdr_len': 0, 'fw_pkt_s': 0, 'bw_pkt_s': 0, 'pkt_len_min': 54, 'pkt_len_max': 54, 'pkt_len_avg': 54.0, 'pkt_len_std': 0, 'pkt_len_va': 0, 'fin_cnt': 0, 'syn_cnt': 0, 'rst_cnt': 0, 'push_cnt': 0, 'ack_cnt': 0, 'urg_cnt': 0, 'cwe_cnt': 0, 'ece_cnt': 0, 'down_up_ratio': 0, 'pkt_size_avr': 54.0, 'fw_seg_avg': 54.0, 'bw_seg_avg': 0, 'fw_byt_blk_avg': 0, 'fw_pkt_blk_avg': 0, 'fw_blk_rate_avg': 0, 'bw_byt_blk_avg': 0, 'bw_pkt_blk_avg': 0, 'bw_blk_rate_avg': 0, 'subfl_fw_pk': 0, 'subfl_fw_byt': 0, 'subfl_bw_pk': 0, 'subfl_bw_byt': 0, 'fw_win_byt': 254, 'bw_win_byt': 0, 'Fw_act_pkt': 0, 'fw_seg_min': None, 'atv_avg': 0, 'atv_std': 0, 'atv_max': 0, 'atv_min': 0, 'idl_avg': 0, 'idl_std': 0, 'idl_max': 0, 'idl_min': 0, 'label': 'BENIGN'}
{'src_ip': '192.168.1.60', 'dst_ip': '35.186.224.24', 'src_port': '49788', 'dst_port': '443', 'protocol': 'UDP', 'start_time': 1759767212.905568, 'end_time': 1759767213.33578, 'flow_duration': 0.43021202087402344, 'total_fwd_packets': 9, 'total_bwd_packets': 0, 'fw_packet_size': 6247, 'fw_packet_size_max': 1292, 'fw_packet_size_min': 74, 'fw_packet_size_avg': 694.1111111111111, 'fw_packet_size_std': 559.0675658718511, 'bw_packet_size': 0, 'bw_packet_size_max': 0, 'bw_packet_size_min': 0, 'bw_packet_size_avg': 0, 'bw_packet_size_std': 0, 'flow_byte_per_sec': 14520.747205781296, 'flow_packet_per_sec': 20.9199175367427, 'flow_iat_avg': 0.05377650260925293, 'flow_iat_std': 0.11016532674117555, 'flow_iat_max': 0.3431689739227295, 'flow_iat_min': 2.288818359375e-05, 'fw_iat_total': 0.43021202087402344, 'fw_iat_avg': 0.05377650260925293, 'fw_iat_std': 0.11016532674117555, 'fw_iat_max': 0.3431689739227295, 'fw_iat_min': 2.288818359375e-05, 'bw_iat_total': 0, 'bw_iat_avg': 0, 'bw_iat_std': 0, 'bw_iat_max': 0, 'bw_iat_min': 0, 'fw_psh_flag': 0, 'bw_psh_flag': 0, 'fw_urg_flag': 0, 'bw_urg_flag': 0, 'fw_hdr_len': 792, 'bw_hdr_len': 0, 'fw_pkt_s': 20.9199175367427, 'bw_pkt_s': 0.0, 'pkt_len_min': 74, 'pkt_len_max': 1292, 'pkt_len_avg': 694.1111111111111, 'pkt_len_std': 559.0675658718511, 'pkt_len_va': 2.288818359375e-05, 'fin_cnt': 0, 'syn_cnt': 0, 'rst_cnt': 0, 'push_cnt': 0, 'ack_cnt': 0, 'urg_cnt': 0, 'cwe_cnt': 0, 'ece_cnt': 0, 'down_up_ratio': 0.0, 'pkt_size_avr': 694.1111111111111, 'fw_seg_avg': 694.1111111111111, 'bw_seg_avg': 0, 'fw_byt_blk_avg': 6247.0, 'fw_pkt_blk_avg': 9.0, 'fw_blk_rate_avg': 2.3244352818603002, 'bw_byt_blk_avg': 0, 'bw_pkt_blk_avg': 0, 'bw_blk_rate_avg': 0, 'subfl_fw_pk': 0, 'subfl_fw_byt': 0, 'subfl_bw_pk': 0, 'subfl_bw_byt': 0, 'fw_win_byt': 0, 'bw_win_byt': 0, 'Fw_act_pkt': 0, 'fw_seg_min': None, 'atv_avg': 0.43021202087402344, 'atv_std': 0, 'atv_max': 0.43021202087402344, 'atv_min': 0.43021202087402344, 'idl_avg': 0, 'idl_std': 0, 'idl_max': 0, 'idl_min': 0, 'label': 'BENIGN'}
{'src_ip': '180.250.13.46', 'dst_ip': '192.168.1.60', 'src_port': '53', 'dst_port': '55853', 'protocol': 'UDP', 'start_time': 1759767212.847407, 'end_time': 1759767212.847407, 'flow_duration': 0.0, 'total_fwd_packets': 1, 'total_bwd_packets': 0, 'fw_packet_size': 229, 'fw_packet_size_max': 229, 'fw_packet_size_min': 229, 'fw_packet_size_avg': 229.0, 'fw_packet_size_std': 0, 'bw_packet_size': 0, 'bw_packet_size_max': 0, 'bw_packet_size_min': 0, 'bw_packet_size_avg': 0, 'bw_packet_size_std': 0, 'flow_byte_per_sec': 0, 'flow_packet_per_sec': 0, 'flow_iat_avg': 0, 'flow_iat_std': 0, 'flow_iat_max': 0, 'flow_iat_min': 0, 'fw_iat_total': 0, 'fw_iat_avg': 0, 'fw_iat_std': 0, 'fw_iat_max': 0, 'fw_iat_min': 0, 'bw_iat_total': 0, 'bw_iat_avg': 0, 'bw_iat_std': 0, 'bw_iat_max': 0, 'bw_iat_min': 0, 'fw_psh_flag': 0, 'bw_psh_flag': 0, 'fw_urg_flag': 0, 'bw_urg_flag': 0, 'fw_hdr_len': 88, 'bw_hdr_len': 0, 'fw_pkt_s': 0, 'bw_pkt_s': 0, 'pkt_len_min': 229, 'pkt_len_max': 229, 'pkt_len_avg': 229.0, 'pkt_len_std': 0, 'pkt_len_va': 0, 'fin_cnt': 0, 'syn_cnt': 0, 'rst_cnt': 0, 'push_cnt': 0, 'ack_cnt': 0, 'urg_cnt': 0, 'cwe_cnt': 0, 'ece_cnt': 0, 'down_up_ratio': 0, 'pkt_size_avr': 229.0, 'fw_seg_avg': 229.0, 'bw_seg_avg': 0, 'fw_byt_blk_avg': 0, 'fw_pkt_blk_avg': 0, 'fw_blk_rate_avg': 0, 'bw_byt_blk_avg': 0, 'bw_pkt_blk_avg': 0, 'bw_blk_rate_avg': 0, 'subfl_fw_pk': 0, 'subfl_fw_byt': 0, 'subfl_bw_pk': 0, 'subfl_bw_byt': 0, 'fw_win_byt': 0, 'bw_win_byt': 0, 'Fw_act_pkt': 0, 'fw_seg_min': None, 'atv_avg': 0, 'atv_std': 0, 'atv_max': 0, 'atv_min': 0, 'idl_avg': 0, 'idl_std': 0, 'idl_max': 0, 'idl_min': 0, 'label': 'BENIGN'}
{'src_ip': '57.144.101.33', 'dst_ip': '192.168.1.60', 'src_port': '443', 'dst_port': '52317', 'protocol': 'TCP', 'start_time': 1759767213.231643, 'end_time': 1759767216.735613, 'flow_duration': 3.503970146179199, 'total_fwd_packets': 7, 'total_bwd_packets': 0, 'fw_packet_size': 541, 'fw_packet_size_max': 121, 'fw_packet_size_min': 54, 'fw_packet_size_avg': 77.28571428571429, 'fw_packet_size_std': 27.937247464959167, 'bw_packet_size': 0, 'bw_packet_size_max': 0, 'bw_packet_size_min': 0, 'bw_packet_size_avg': 0, 'bw_packet_size_std': 0, 'flow_byte_per_sec': 154.39629261394177, 'flow_packet_per_sec': 1.9977339155223521, 'flow_iat_avg': 0.5839950243631998, 'flow_iat_std': 1.0797768733366526, 'flow_iat_max': 2.9932219982147217, 'flow_iat_min': 0.018175125122070312, 'fw_iat_total': 3.503970146179199, 'fw_iat_avg': 0.5839950243631998, 'fw_iat_std': 1.0797768733366526, 'fw_iat_max': 2.9932219982147217, 'fw_iat_min': 0.018175125122070312, 'bw_iat_total': 0, 'bw_iat_avg': 0, 'bw_iat_std': 0, 'bw_iat_max': 0, 'bw_iat_min': 0, 'fw_psh_flag': 0, 'bw_psh_flag': 0, 'fw_urg_flag': 0, 'bw_urg_flag': 0, 'fw_hdr_len': 1120, 'bw_hdr_len': 0, 'fw_pkt_s': 1.9977339155223521, 'bw_pkt_s': 0.0, 'pkt_len_min': 54, 'pkt_len_max': 121, 'pkt_len_avg': 77.28571428571429, 'pkt_len_std': 27.937247464959167, 'pkt_len_va': 0.018175125122070312, 'fin_cnt': 0, 'syn_cnt': 0, 'rst_cnt': 0, 'push_cnt': 0, 'ack_cnt': 0, 'urg_cnt': 0, 'cwe_cnt': 0, 'ece_cnt': 0, 'down_up_ratio': 0.0, 'pkt_size_avr': 77.28571428571429, 'fw_seg_avg': 77.28571428571429, 'bw_seg_avg': 0, 'fw_byt_blk_avg': 376.0, 'fw_pkt_blk_avg': 5.0, 'fw_blk_rate_avg': 0.285390559360336, 'bw_byt_blk_avg': 0, 'bw_pkt_blk_avg': 0, 'bw_blk_rate_avg': 0, 'subfl_fw_pk': 0, 'subfl_fw_byt': 0, 'subfl_bw_pk': 0, 'subfl_bw_byt': 0, 'fw_win_byt': 478, 'bw_win_byt': 0, 'Fw_act_pkt': 0, 'fw_seg_min': None, 'atv_avg': 3.503970146179199, 'atv_std': 0, 'atv_max': 3.503970146179199, 'atv_min': 3.503970146179199, 'idl_avg': 0, 'idl_std': 0, 'idl_max': 0, 'idl_min': 0, 'label': 'BENIGN'}
{'src_ip': '20.44.10.122', 'dst_ip': '192.168.1.60', 'src_port': '443', 'dst_port': '52440', 'protocol': 'TCP', 'start_time': 1759767213.067564, 'end_time': 1759767217.712146, 'flow_duration': 4.644582033157349, 'total_fwd_packets': 22, 'total_bwd_packets': 0, 'fw_packet_size': 5916, 'fw_packet_size_max': 1506, 'fw_packet_size_min': 54, 'fw_packet_size_avg': 268.90909090909093, 'fw_packet_size_std': 479.76461170518616, 'bw_packet_size': 0, 'bw_packet_size_max': 0, 'bw_packet_size_min': 0, 'bw_packet_size_avg': 0, 'bw_packet_size_std': 0, 'flow_byte_per_sec': 1273.7421705044903, 'flow_packet_per_sec': 4.736701783485258, 'flow_iat_avg': 0.2211705730074928, 'flow_iat_std': 0.7624676026170178, 'flow_iat_max': 3.606149911880493, 'flow_iat_min': 0.0, 'fw_iat_total': 4.644582033157349, 'fw_iat_avg': 0.2211705730074928, 'fw_iat_std': 0.7624676026170178, 'fw_iat_max': 3.606149911880493, 'fw_iat_min': 0.0, 'bw_iat_total': 0, 'bw_iat_avg': 0, 'bw_iat_std': 0, 'bw_iat_max': 0, 'bw_iat_min': 0, 'fw_psh_flag': 0, 'bw_psh_flag': 0, 'fw_urg_flag': 0, 'bw_urg_flag': 0, 'fw_hdr_len': 3712, 'bw_hdr_len': 0, 'fw_pkt_s': 4.736701783485258, 'bw_pkt_s': 0.0, 'pkt_len_min': 54, 'pkt_len_max': 1506, 'pkt_len_avg': 268.90909090909093, 'pkt_len_std': 479.76461170518616, 'pkt_len_va': 0.0, 'fin_cnt': 0, 'syn_cnt': 0, 'rst_cnt': 0, 'push_cnt': 0, 'ack_cnt': 0, 'urg_cnt': 0, 'cwe_cnt': 0, 'ece_cnt': 0, 'down_up_ratio': 0.0, 'pkt_size_avr': 268.90909090909093, 'fw_seg_avg': 268.90909090909093, 'bw_seg_avg': 0, 'fw_byt_blk_avg': 2958.0, 'fw_pkt_blk_avg': 11.0, 'fw_blk_rate_avg': 0.4306092530441144, 'bw_byt_blk_avg': 0, 'bw_pkt_blk_avg': 0, 'bw_blk_rate_avg': 0, 'subfl_fw_pk': 0, 'subfl_fw_byt': 0, 'subfl_bw_pk': 0, 'subfl_bw_byt': 0, 'fw_win_byt': 65535, 'bw_win_byt': 0, 'Fw_act_pkt': 4, 'fw_seg_min': 181, 'atv_avg': 4.644582033157349, 'atv_std': 0, 'atv_max': 4.644582033157349, 'atv_min': 4.644582033157349, 'idl_avg': 0, 'idl_std': 0, 'idl_max': 0, 'idl_min': 0, 'label': 'BENIGN'}
{'src_ip': '192.168.1.60', 'dst_ip': '20.118.198.33', 'src_port': '50891', 'dst_port': '443', 'protocol': 'TCP', 'start_time': 1759767213.335414, 'end_time': 1759767218.232995, 'flow_duration': 4.897581100463867, 'total_fwd_packets': 5, 'total_bwd_packets': 0, 'fw_packet_size': 275, 'fw_packet_size_max': 55, 'fw_packet_size_min': 55, 'fw_packet_size_avg': 55.0, 'fw_packet_size_std': 0.0, 'bw_packet_size': 0, 'bw_packet_size_max': 0, 'bw_packet_size_min': 0, 'bw_packet_size_avg': 0, 'bw_packet_size_std': 0, 'flow_byte_per_sec': 56.15016767643802, 'flow_packet_per_sec': 1.0209121395716003, 'flow_iat_avg': 1.2243952751159668, 'flow_iat_std': 0.0017964158127496258, 'flow_iat_max': 1.2261881828308105, 'flow_iat_min': 1.2218427658081055, 'fw_iat_total': 4.897581100463867, 'fw_iat_avg': 1.2243952751159668, 'fw_iat_std': 0.0017964158127496258, 'fw_iat_max': 1.2261881828308105, 'fw_iat_min': 1.2218427658081055, 'bw_iat_total': 0, 'bw_iat_avg': 0, 'bw_iat_std': 0, 'bw_iat_max': 0, 'bw_iat_min': 0, 'fw_psh_flag': 0, 'bw_psh_flag': 0, 'fw_urg_flag': 0, 'bw_urg_flag': 0, 'fw_hdr_len': 800, 'bw_hdr_len': 0, 'fw_pkt_s': 1.0209121395716003, 'bw_pkt_s': 0.0, 'pkt_len_min': 55, 'pkt_len_max': 55, 'pkt_len_avg': 55.0, 'pkt_len_std': 0.0, 'pkt_len_va': 1.2218427658081055, 'fin_cnt': 0, 'syn_cnt': 0, 'rst_cnt': 0, 'push_cnt': 0, 'ack_cnt': 0, 'urg_cnt': 0, 'cwe_cnt': 0, 'ece_cnt': 0, 'down_up_ratio': 0.0, 'pkt_size_avr': 55.0, 'fw_seg_avg': 55.0, 'bw_seg_avg': 0, 'fw_byt_blk_avg': 0, 'fw_pkt_blk_avg': 0, 'fw_blk_rate_avg': 0, 'bw_byt_blk_avg': 0, 'bw_pkt_blk_avg': 0, 'bw_blk_rate_avg': 0, 'subfl_fw_pk': 0, 'subfl_fw_byt': 0, 'subfl_bw_pk': 0, 'subfl_bw_byt': 0, 'fw_win_byt': 254, 'bw_win_byt': 0, 'Fw_act_pkt': 0, 'fw_seg_min': None, 'atv_avg': 4.897581100463867, 'atv_std': 0, 'atv_max': 4.897581100463867, 'atv_min': 4.897581100463867, 'idl_avg': 0, 'idl_std': 0, 'idl_max': 0, 'idl_min': 0, 'label': 'BENIGN'}
{'src_ip': '192.168.1.60', 'dst_ip': '57.144.101.33', 'src_port': '52317', 'dst_port': '443', 'protocol': 'TCP', 'start_time': 1759767213.236613, 'end_time': 1759767216.788935, 'flow_duration': 3.5523219108581543, 'total_fwd_packets': 5, 'total_bwd_packets': 0, 'fw_packet_size': 484, 'fw_packet_size_max': 118, 'fw_packet_size_min': 54, 'fw_packet_size_avg': 96.8, 'fw_packet_size_std': 22.40892679268688, 'bw_packet_size': 0, 'bw_packet_size_max': 0, 'bw_packet_size_min': 0, 'bw_packet_size_avg': 0, 'bw_packet_size_std': 0, 'flow_byte_per_sec': 136.24891328699357, 'flow_packet_per_sec': 1.4075300959400163, 'flow_iat_avg': 0.8880804777145386, 'flow_iat_std': 1.2180341177904002, 'flow_iat_max': 2.9928698539733887, 'flow_iat_min': 0.06315898895263672, 'fw_iat_total': 3.5523219108581543, 'fw_iat_avg': 0.8880804777145386, 'fw_iat_std': 1.2180341177904002, 'fw_iat_max': 2.9928698539733887, 'fw_iat_min': 0.06315898895263672, 'bw_iat_total': 0, 'bw_iat_avg': 0, 'bw_iat_std': 0, 'bw_iat_max': 0, 'bw_iat_min': 0, 'fw_psh_flag': 0, 'bw_psh_flag': 0, 'fw_urg_flag': 0, 'bw_urg_flag': 0, 'fw_hdr_len': 800, 'bw_hdr_len': 0, 'fw_pkt_s': 1.4075300959400163, 'bw_pkt_s': 0.0, 'pkt_len_min': 54, 'pkt_len_max': 118, 'pkt_len_avg': 96.8, 'pkt_len_std': 22.40892679268688, 'pkt_len_va': 0.06315898895263672, 'fin_cnt': 0, 'syn_cnt': 0, 'rst_cnt': 0, 'push_cnt': 0, 'ack_cnt': 0, 'urg_cnt': 0, 'cwe_cnt': 0, 'ece_cnt': 0, 'down_up_ratio': 0.0, 'pkt_size_avr': 96.8, 'fw_seg_avg': 96.8, 'bw_seg_avg': 0, 'fw_byt_blk_avg': 377.0, 'fw_pkt_blk_avg': 4.0, 'fw_blk_rate_avg': 0.2815060191880033, 'bw_byt_blk_avg': 0, 'bw_pkt_blk_avg': 0, 'bw_blk_rate_avg': 0, 'subfl_fw_pk': 0, 'subfl_fw_byt': 0, 'subfl_bw_pk': 0, 'subfl_bw_byt': 0, 'fw_win_byt': 255, 'bw_win_byt': 0, 'Fw_act_pkt': 0, 'fw_seg_min': None, 'atv_avg': 3.5523219108581543, 'atv_std': 0, 'atv_max': 3.5523219108581543, 'atv_min': 3.5523219108581543, 'idl_avg': 0, 'idl_std': 0, 'idl_max': 0, 'idl_min': 0, 'label': 'BENIGN'}
